X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8478203.76836277,5323045.51439448,2024/08/21 00:00:00+00,1500,1600,600 LEMOYNE AV   ,,All Other,LARCENY,43.072709393,-76.16100027,6658
-8475401.56334132,5321238.70295194,2024/02/05 00:00:00+00,100,105,600 OAK ST     ,,All Other,LARCENY,43.0608518010001,-76.135827634,6659
-8478203.76836277,5323045.51439448,2024/07/28 00:00:00+00,120,1002,600 LEMOYNE AV   ,,Of Bicycle,MV THEFT,43.072709393,-76.16100027,6660
-8477525.51484669,5320629.22478889,2024/04/12 00:00:00+00,1730,642,600 N CLINTON ST     ,,From Motor Vehicle,LARCENY,43.0568514510001,-76.154907415,6661
-8476330.23250097,5316750.02724662,2024/07/11 00:00:00+00,1800,1700,600 OAKWOOD AV   ,,From Building,BURGLARY,43.0313839660001,-76.144170011,6662
-8478821.06210117,5318799.51474822,2024/01/29 00:00:00+00,445,504,600 OTISCO ST     ,Yes,,AGGRAVATED ASSAULT,43.044840461,-76.1665455139999,6663
-8478821.06210117,5318799.51474822,2024/11/07 00:00:00+00,1415,1415,600 OTISCO ST     ,,,AGGRAVATED ASSAULT,43.044840461,-76.1665455139999,6664
-8478821.06210117,5318799.51474822,2024/02/28 00:00:00+00,1547,1548,600 OTISCO ST     ,,All Other,LARCENY,43.044840461,-76.1665455139999,6665
-8478821.06210117,5318799.51474822,2024/06/12 00:00:00+00,1345,1400,600 OTISCO ST     ,,From Motor Vehicle,LARCENY,43.044840461,-76.1665455139999,6666
-8478783.41273619,5319913.45839817,2024/06/12 00:00:00+00,0,1100,600 PARK AV   ,,From Motor Vehicle,LARCENY,43.0521531380001,-76.166207304,6667
-8478783.41273619,5319913.45839817,2024/06/23 00:00:00+00,1055,810,600 PARK AVE    ,,From Building,LARCENY,43.0521531380001,-76.166207304,6668
-8476040.66312082,5321574.40713318,2024/03/07 00:00:00+00,1530,700,600 PARK ST     ,,From Building,BURGLARY,43.063055106,-76.141568765,6669
-8476040.66312082,5321574.40713318,2024/01/16 00:00:00+00,530,530,600 PARK ST     ,Yes,,AGGRAVATED ASSAULT,43.063055106,-76.141568765,6670
-8476040.66312082,5321574.40713318,2024/08/30 00:00:00+00,2232,2232,600 PARK ST     ,,,AGGRAVATED ASSAULT,43.063055106,-76.141568765,6671
-8476040.66312082,5321574.40713318,2024/08/14 00:00:00+00,1805,1805,600 PARK ST     ,Yes,,AGGRAVATED ASSAULT,43.063055106,-76.141568765,6672
-8471236.5954663,5321318.52622922,2024/04/22 00:00:00+00,0,2359,600 PLYMOUTH DR     ,,From Mailbox,LARCENY,43.061375707,-76.0984130909999,6673
-8477044.39679422,5322181.36708244,2024/07/11 00:00:00+00,0,600,600 POND ST     ,,From Motor Vehicle,LARCENY,43.067038525,-76.150585458,6674
-8476040.66312082,5321574.40713318,2024/01/07 00:00:00+00,1154,1200,600 PARK ST   ,,,AGGRAVATED ASSAULT,43.063055106,-76.141568765,6675
-8475497.69807434,5318694.90571315,2024/10/13 00:00:00+00,2128,2128,600 S  CROUSE AVE    ,Yes,Of Bicycle,MV THEFT,43.0441536920001,-76.136691227,6676
-8476040.66312082,5321574.40713318,2024/06/27 00:00:00+00,1642,1642,600 PARK ST     ,,From Motor Vehicle,LARCENY,43.063055106,-76.141568765,6677
-8479835.61669699,5318675.31985708,2024/07/09 00:00:00+00,2208,1841,600 S  WILBUR AVE    ,,From Building,LARCENY,43.044025108,-76.1756594129999,6678
-8475497.69807434,5318694.90571315,2024/04/17 00:00:00+00,28,28,600 S CROUSE AV   ,,From Building,BURGLARY,43.0441536920001,-76.136691227,6679
-8474033.75860536,5318604.77644756,2024/03/11 00:00:00+00,2015,2200,600 S BEECH ST     ,,From Building,BURGLARY,43.0435619780001,-76.1235404349999,6680
-8475497.69807434,5318694.90571315,2024/06/10 00:00:00+00,0,200,600 S CROUSE AV   ,,From Motor Vehicle,LARCENY,43.0441536920001,-76.136691227,6681
-8475497.69807434,5318694.90571315,2024/10/08 00:00:00+00,2006,2315,600 S CROUSE AV   ,Yes,Of Bicycle,MV THEFT,43.0441536920001,-76.136691227,6682
-8475497.69807434,5318694.90571315,2024/06/23 00:00:00+00,2200,800,600 S CROUSE AV   ,,From Motor Vehicle,LARCENY,43.0441536920001,-76.136691227,6683
-8472050.96377655,5318953.26208257,2024/01/13 00:00:00+00,2217,2217,600 SALT SPRINGS RD     ,,,AGGRAVATED ASSAULT,43.0458498140001,-76.105728686,6684
-8481362.55253372,5319321.41536604,2024/05/26 00:00:00+00,230,700,600 SCHUYLER ST     ,,From Motor Vehicle,LARCENY,43.0482666770001,-76.1893761109999,6685
-8481362.55253372,5319321.41536604,2024/04/23 00:00:00+00,2000,330,600 SCHUYLER ST     ,,Of Bicycle,MV THEFT,43.0482666770001,-76.1893761109999,6686
-8472050.96377655,5318953.26208257,2024/05/03 00:00:00+00,2300,645,600 SALT SPRINGS RD     ,,Of Bicycle,MV THEFT,43.0458498140001,-76.105728686,6687
-8477891.05098506,5318782.59779571,2024/02/23 00:00:00+00,1750,1753,600 S WEST ST   ,,,ROBBERY,43.0447294000001,-76.158191082,6688
-8477972.43176673,5317061.93991337,2024/02/20 00:00:00+00,1608,1608,600 SOUTH AV   ,Yes,All Other,LARCENY,43.0334321080001,-76.158922138,6689
-8477972.43176673,5317061.93991337,2024/03/01 00:00:00+00,1546,1546,600 SOUTH AV   ,,Shoplifting,LARCENY,43.0334321080001,-76.158922138,6690
-8477972.43176673,5317061.93991337,2024/12/10 00:00:00+00,1450,1500,600 SOUTH AV   ,,From Motor Vehicle,LARCENY,43.0334321080001,-76.158922138,6691
-8477972.43176673,5317061.93991337,2024/11/03 00:00:00+00,1606,1606,600 SOUTH AV   ,Yes,Shoplifting,ROBBERY,43.0334321080001,-76.158922138,6692
-8477972.43176673,5317061.93991337,2024/08/11 00:00:00+00,805,805,600 SOUTH AV   ,,From Motor Vehicle,LARCENY,43.0334321080001,-76.158922138,6693
-8478589.65693232,5318717.20534415,2024/08/22 00:00:00+00,1105,1105,600 TULLY ST     ,,All Other,LARCENY,43.0443000920001,-76.164466766,6694
-8478589.65693232,5318717.20534415,2024/09/27 00:00:00+00,300,300,600 TULLY ST     ,Yes,,BURGLARY,43.0443000920001,-76.164466766,6695
-8476709.92202204,5318971.7801191,2024/10/07 00:00:00+00,1500,1655,600 S STATE ST     ,,,LARCENY,43.045971384,-76.14758082,6696
-8473859.91173583,5320460.58278202,2024/11/11 00:00:00+00,732,732,600 TEALL AVE    ,,All Other,LARCENY,43.055744512,-76.121978742,6697
-8475250.73667457,5318692.16487283,2024/05/23 00:00:00+00,920,1600,600 UNIVERSITY AV   ,,From Motor Vehicle,LARCENY,43.044135698,-76.134472735,6698
-8475250.73667457,5318692.16487283,2024/03/22 00:00:00+00,1052,1052,600 UNIVERSITY AV   ,,All Other,LARCENY,43.044135698,-76.134472735,6699
-8475250.73667457,5318692.16487283,2024/10/27 00:00:00+00,1555,1830,600 UNIVERSITY AV   ,,From Motor Vehicle,LARCENY,43.044135698,-76.134472735,6700
-8475250.73667457,5318692.16487283,2024/02/16 00:00:00+00,1440,741,600 UNIVERSITY AV ,,,BURGLARY,43.044135698,-76.134472735,6701
-8475250.73667457,5318692.16487283,2024/07/08 00:00:00+00,840,1400,600 UNIVERSITY AV   ,,From Motor Vehicle,LARCENY,43.044135698,-76.134472735,6702
-8477788.62614423,5313611.74341122,2024/09/10 00:00:00+00,2220,2224,600 VALLEY DR     ,,Of Bicycle,MV THEFT,43.0107729490001,-76.157270984,6703
-8477788.62614423,5313611.74341122,2024/04/03 00:00:00+00,726,726,600 VALLEY DR     ,,,AGGRAVATED ASSAULT,43.0107729490001,-76.157270984,6704
-8477788.62614423,5313611.74341122,2024/07/25 00:00:00+00,900,900,600 VALLEY DR     ,,Of Bicycle,MV THEFT,43.0107729490001,-76.157270984,6705
-8474270.29805177,5320966.65399034,2024/04/07 00:00:00+00,2017,2017,600 VINE ST     ,,All Other,LARCENY,43.0590662220001,-76.125665305,6706
-8475000.74293187,5318866.24090217,2024/04/24 00:00:00+00,1000,1220,600 WALNUT AV   ,,All Other,LARCENY,43.0452785210001,-76.132227003,6707
-8474270.29805177,5320966.65399034,2024/08/26 00:00:00+00,2145,2145,600 VINE ST     ,,,AGGRAVATED ASSAULT,43.0590662220001,-76.125665305,6708
-8475000.74293187,5318866.24090217,2024/02/02 00:00:00+00,1155,1155,600 WALNUT AVE  ,,All Other,LARCENY,43.0452785210001,-76.132227003,6709
-8474125.04693303,5320836.40862313,2024/09/27 00:00:00+00,1700,1900,600 WINTON ST   ,,All Other,LARCENY,43.0582113450001,-76.1243604919999,6710
-8474125.04693303,5320836.40862313,2024/11/01 00:00:00+00,806,806,600 WINTON ST     ,,Of Bicycle,MV THEFT,43.0582113450001,-76.1243604919999,6711
-8478277.69808563,5323326.52638083,2024/12/28 00:00:00+00,424,424,600 WOLF ST     ,,From Building,BURGLARY,43.0745533890001,-76.161664392,6712
-8478277.69808563,5323326.52638083,2024/09/14 00:00:00+00,51,51,600 WOLF ST     ,,,AGGRAVATED ASSAULT,43.0745533890001,-76.161664392,6713
-8478277.69808563,5323326.52638083,2024/05/04 00:00:00+00,331,331,600 WOLF ST   ,Yes,From Motor Vehicle,LARCENY,43.0745533890001,-76.161664392,6714
-8473025.89854109,5318577.36103365,2024/05/07 00:00:00+00,30,530,600 WESTMORELAND AV   ,,Of Bicycle,MV THEFT,43.0433819900001,-76.114486674,6715
-8478277.69808563,5323326.52638083,2024/11/16 00:00:00+00,1147,1147,600 WOLF ST     ,Yes,From Building,AGGRAVATED ASSAULT,43.0745533890001,-76.161664392,6716
-8478277.69808563,5323326.52638083,2024/05/06 00:00:00+00,1913,1913,600 WOLF ST     ,,,AGGRAVATED ASSAULT,43.0745533890001,-76.161664392,6717
-8476708.24243356,5321416.07194183,2024/11/23 00:00:00+00,1259,1229,700 ASH ST     ,,All Other,LARCENY,43.062015925,-76.147565732,6718
-8476708.24243356,5321416.07194183,2024/06/14 00:00:00+00,815,816,700 ASH ST     ,,All Other,LARCENY,43.062015925,-76.147565732,6719
-8479981.45691848,5316671.09929499,2024/08/09 00:00:00+00,200,500,700 ARTHUR ST   ,,Of Bicycle,MV THEFT,43.0308656830001,-76.176969518,6720
-8477978.39648768,5312652.48341339,2024/03/28 00:00:00+00,1800,700,700 BARNES AV   ,,Of Bicycle,MV THEFT,43.004471525,-76.1589757199999,6721
-8476502.88580292,5321180.31116938,2024/09/01 00:00:00+00,1510,1513,700 BUTTERNUT ST     ,,,AGGRAVATED ASSAULT,43.0604685540001,-76.1457209819999,6722
-8476502.88580292,5321180.31116938,2024/01/05 00:00:00+00,1222,1222,700 BUTTERNUT ST     ,,All Other,LARCENY,43.0604685540001,-76.1457209819999,6723
-8477929.03831602,5323134.4852069,2024/08/18 00:00:00+00,433,433,700 BEAR ST     ,,From Building,BURGLARY,43.0732932240001,-76.158532328,6724
-8476502.88580292,5321180.31116938,2024/06/27 00:00:00+00,1839,1839,700 BUTTERNUT ST     ,,All Other,LARCENY,43.0604685540001,-76.1457209819999,6725
-8476502.88580292,5321180.31116938,2024/02/11 00:00:00+00,849,849,700 BUTTERNUT ST     ,Yes,All Other,LARCENY,43.0604685540001,-76.1457209819999,6726
-8476502.88580292,5321180.31116938,2024/08/23 00:00:00+00,1935,1935,700 BUTTERNUT ST     ,,All Other,LARCENY,43.0604685540001,-76.1457209819999,6727
-8476502.88580292,5321180.31116938,2024/11/20 00:00:00+00,0,500,700 BUTTERNUT ST     ,,From Motor Vehicle,LARCENY,43.0604685540001,-76.1457209819999,6728
-8476502.88580292,5321180.31116938,2024/06/02 00:00:00+00,820,820,700 BUTTERNUT ST     ,,All Other,LARCENY,43.0604685540001,-76.1457209819999,6729
-8476502.88580292,5321180.31116938,2024/10/30 00:00:00+00,2238,2238,700 BUTTERNUT ST     ,,All Other,LARCENY,43.0604685540001,-76.1457209819999,6730
-8476502.88580292,5321180.31116938,2024/05/26 00:00:00+00,1721,1721,700 BUTTERNUT ST     ,,Motor Vehicle,MV THEFT,43.0604685540001,-76.1457209819999,6731
-8475462.70802067,5319751.6175942,2024/01/30 00:00:00+00,2030,1200,700 CANAL ST   ,,Of MV Parts/Accessories,LARCENY,43.0510907600001,-76.136376906,6732
-8476502.88580292,5321180.31116938,2024/11/17 00:00:00+00,1110,1110,700 BUTTERNUT ST     ,,All Other,LARCENY,43.0604685540001,-76.1457209819999,6733
-8475462.70802067,5319751.6175942,2024/01/20 00:00:00+00,2005,2005,700 CANAL ST     ,,Motor Vehicle,MV THEFT,43.0510907600001,-76.136376906,6734
-8474770.43014118,5317957.00118334,2024/03/29 00:00:00+00,1700,1244,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6735
-8473682.70802705,5317827.58868497,2024/10/30 00:00:00+00,2030,915,700 CLARENDON ST     ,,From Motor Vehicle,LARCENY,43.038459371,-76.120386894,6736
