X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType,monthly_crime_count
-8475174.23402431,5318048.22554892,2023-11-20 00:00:00+00:00,1247,1347,200 WAVERLY AV   ,NO,From Building,LARCENY,43.039908,-76.1337855,3355,2023-11,3.7,2,509
-8474432.23829989,5321345.98061751,2023-04-08 00:00:00+00:00,1400,1400,200 DOROTHY ST     ,NO,All Other,LARCENY,43.0615558980001,-76.127120039,3356,2023-04,2.9,2,331
-8476138.96891786,5320939.91587732,2023-09-07 00:00:00+00:00,0830,1155,200 DOUGLAS ST     ,NO,From Motor Vehicle,LARCENY,43.058890725,-76.142451861,3357,2023-09,3.6,2,574
-8475174.23402431,5318048.22554892,2023-03-08 00:00:00+00:00,0000,1418,200 WAVERLY AV   ,NO,From Building,LARCENY,43.039908,-76.1337855,3358,2023-03,3.6,2,310
-8476062.67332186,5312794.1732676,2023-05-23 00:00:00+00:00,1900,0,200 E  GLEN AVE    ,NO,From Building,LARCENY,43.0054023330001,-76.1417664859999,3361,2023-05,3.2,2,366
-8475174.23402431,5318048.22554892,2023-11-01 00:00:00+00:00,1302,1302,200 WAVERLY AV   ,NO,Shoplifting,LARCENY,43.039908,-76.1337855,3362,2023-11,3.7,2,509
-8475174.23402431,5318048.22554892,2023-09-28 00:00:00+00:00,1220,1415,200 WAVERLY AV   ,YES,All Other,LARCENY,43.039908,-76.1337855,3363,2023-09,3.6,2,574
-8475174.23402431,5318048.22554892,2023-09-25 00:00:00+00:00,1742,1742,200 WAVERLY AVE    ,NO,Of Bicycle,LARCENY,43.039908,-76.1337855,3365,2023-09,3.6,2,574
-8476229.46398283,5315907.98742585,2023-11-18 00:00:00+00:00,1700,1200,200 E COLVIN ST     ,NO,From Building,BURGLARY,43.025854458,-76.143264792,3366,2023-11,3.7,1,509
-8477067.41855547,5318475.56898246,2023-11-16 00:00:00+00:00,1800,2010,200 E ADAMS ST     ,NO,From Motor Vehicle,LARCENY,43.042713699,-76.1507922659999,3367,2023-11,3.7,2,509
-8477061.05464282,5319127.96248902,2023-07-26 00:00:00+00:00,1700,1136,200 E JEFFERSON ST     ,NO,From Motor Vehicle,LARCENY,43.046996704,-76.150735098,3368,2023-07,3.5,2,558
-8475174.23402431,5318048.22554892,2023-09-25 00:00:00+00:00,2055,2055,200 WAVERLY AVE    ,NO,All Other,LARCENY,43.039908,-76.1337855,3369,2023-09,3.6,2,574
-8475174.23402431,5318048.22554892,2023-09-25 00:00:00+00:00,1953,1953,200 WAVERLY AVE    ,NO,Of Bicycle,LARCENY,43.039908,-76.1337855,3371,2023-09,3.6,2,574
-8477061.05464282,5319127.96248902,2023-07-13 00:00:00+00:00,2330,1852,200 E JEFFERSON ST     ,NO,From Motor Vehicle,LARCENY,43.046996704,-76.150735098,3372,2023-07,3.5,2,558
-8475174.23402431,5318048.22554892,2023-09-28 00:00:00+00:00,1656,1840,200 WAVERLY AVE    ,NO,All Other,LARCENY,43.039908,-76.1337855,3373,2023-09,3.6,2,574
-8475902.80851432,5312034.8171247,2023-07-26 00:00:00+00:00,1346,1346,200 E SENECA TPKE   ,NO,From Motor Vehicle,LARCENY,43.000413704,-76.140330396,3374,2023-07,3.5,2,558
-8476059.64732414,5316038.18102164,2023-08-27 00:00:00+00:00,0900,812,200 ELIZABETH ST     ,NO,All Other,LARCENY,43.026709446,-76.141739303,3375,2023-08,3.8,2,608
-8473652.38526567,5316980.44701849,2023-08-27 00:00:00+00:00,1350,712,200 WESTMINSTER AV   ,NO,All Other,LARCENY,43.032897,-76.1201144999999,3378,2023-08,3.8,2,608
-8479217.37073166,5317316.38355223,2023-08-01 00:00:00+00:00,0030,30,200 ELLIOT ST     ,NO,From Motor Vehicle,MV THEFT,43.035102835,-76.170105615,3380,2023-08,3.8,3,608
-8479217.37073166,5317316.38355223,2023-09-09 00:00:00+00:00,1003,1003,200 ELLIOTT ST     ,NO,Of Bicycle,MV THEFT,43.035102835,-76.170105615,3381,2023-09,3.6,3,574
-8477363.0041975,5313471.52758677,2023-06-18 00:00:00+00:00,2330,800,200 EMPIRE AV   ,NO,All Other,LARCENY,43.0098519050001,-76.1534475569999,3382,2023-06,3.5,2,349
-8477160.07422044,5313518.07921924,2023-10-29 00:00:00+00:00,2130,430,200 EVALEEN AVE    ,NO,From Motor Vehicle,LARCENY,43.0101576930001,-76.151624606,3383,2023-10,3.7,2,558
-8473143.2031243,5318311.86911584,2023-08-01 00:00:00+00:00,0600,850,200 FELLOWS AV   ,NO,From Motor Vehicle,LARCENY,43.041638952,-76.115540439,3384,2023-08,3.8,2,608
-8473143.2031243,5318311.86911584,2023-08-27 00:00:00+00:00,0017,17,200 FELLOWS AV   ,YES,From Building,BURGLARY,43.041638952,-76.115540439,3385,2023-08,3.8,1,608
-8473143.2031243,5318311.86911584,2023-09-03 00:00:00+00:00,2028,2028,200 FELLOWS AV   ,NO,From Motor Vehicle,LARCENY,43.041638952,-76.115540439,3386,2023-09,3.6,2,574
-8473143.2031243,5318311.86911584,2023-10-25 00:00:00+00:00,1005,1005,200 FELLOWS AV   ,NO,All Other,LARCENY,43.041638952,-76.115540439,3387,2023-10,3.7,2,558
