X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType
-8477092.49160098,5321436.74533155,2023-05-05 00:00:00+00:00,1900,1900,100 MARY ST     ,NO,From Building,LARCENY,43.0621516090001,-76.151017501,1299,2023-05-01,3.2,2
-8477092.49160098,5321436.74533155,2023-09-05 00:00:00+00:00,0910,1225,100 MARY ST     ,NO,All Other,LARCENY,43.0621516090001,-76.151017501,1301,2023-09-01,3.6,2
-8473217.07050825,5322981.60303909,2023-08-16 00:00:00+00:00,0130,130,100 LINWILL TER    ,NO,From Motor Vehicle,MV THEFT,43.0722900000001,-76.116204001,1303,2023-08-01,3.8,3
-8473442.99330349,5322782.73671214,2023-05-04 00:00:00+00:00,2000,450,100 VILLAGE DR     ,NO,Motor Vehicle,MV THEFT,43.0709850000001,-76.1182335,1304,2023-05-01,3.2,3
-8479345.04138586,5320192.37528778,2023-08-22 00:00:00+00:00,1258,1258,1000 W GENESEE ST     ,YES,Shoplifting,LARCENY,43.0539840000001,-76.1712525,1306,2023-08-01,3.8,2
-8471839.41600111,5320436.95508464,2023-07-28 00:00:00+00:00,1323,1323,100 SIMON DR     ,NO,All Other,LARCENY,43.055589422,-76.1038283199999,1307,2023-07-01,3.5,2
-8474903.3913655,5315632.20433297,2023-10-15 00:00:00+00:00,2000,2000,100 RUTH AV   ,NO,From Motor Vehicle,MV THEFT,43.0240433370001,-76.131352479,1308,2023-10-01,3.7,3
-8473217.07050825,5322981.60303909,2023-06-30 00:00:00+00:00,1130,740,100 LINWILL TER    ,NO,From Motor Vehicle,LARCENY,43.0722900000001,-76.116204001,1309,2023-06-01,3.5,2
-8475473.84063767,5314868.0479738,2023-05-28 00:00:00+00:00,1900,2100,100 STEVENS PL   ,NO,Motor Vehicle,MV THEFT,43.019024695,-76.136476912,1312,2023-05-01,3.2,3
-8474587.92940575,5319968.49823689,2023-11-16 00:00:00+00:00,0000,0,100 MATHER ST     ,NO,All Other,LARCENY,43.052514434,-76.128518636,1314,2023-11-01,3.7,2
-8473442.99330349,5322782.73671214,2022-12-25 00:00:00+00:00,2300,1000,100 VILLAGE DR ,NO,From Motor Vehicle,LARCENY,43.0709850000001,-76.1182335,1315,2022-12-01,3.3,2
-8479345.04138586,5320192.37528778,2023-10-20 00:00:00+00:00,0919,919,1000 W GENESEE ST     ,YES,Shoplifting,LARCENY,43.0539840000001,-76.1712525,1316,2023-10-01,3.7,2
-8474587.92940575,5319968.49823689,2023-08-09 00:00:00+00:00,1846,1846,100 MATHER ST     ,NO,All Other,LARCENY,43.052514434,-76.128518636,1318,2023-08-01,3.8,2
-8473442.99330349,5322782.73671214,2023-02-28 00:00:00+00:00,0000,1428,100 VILLAGE DR     ,NO,All Other,LARCENY,43.0709850000001,-76.1182335,1319,2023-02-01,4.1,2
-8475473.84063767,5314868.0479738,2023-04-09 00:00:00+00:00,0000,0,100 STEVENS PL     ,NO,All Other,LARCENY,43.019024695,-76.136476912,1320,2023-04-01,2.9,2
-8477040.22698873,5318848.796794,2023-07-07 00:00:00+00:00,1026,1026,100 MADISON ST     ,NO,All Other,LARCENY,43.0451640000001,-76.150548,1322,2023-07-01,3.5,2
-8474903.3913655,5315632.20433297,2023-08-01 00:00:00+00:00,1100,1400,100 RUTH AVE    ,NO,All Other,LARCENY,43.0240433370001,-76.131352479,1324,2023-08-01,3.8,2
-8479345.04138586,5320192.37528778,2023-09-06 00:00:00+00:00,0840,840,1000 W GENESEE ST     ,YES,Shoplifting,BURGLARY,43.0539840000001,-76.1712525,1325,2023-09-01,3.6,1
-8471839.41600111,5320436.95508464,2023-08-27 00:00:00+00:00,1604,1604,100 SIMON DR     ,YES,All Other,LARCENY,43.055589422,-76.1038283199999,1326,2023-08-01,3.8,2
-8477040.22698873,5318848.796794,2023-05-09 00:00:00+00:00,1630,2120,100 MADISON ST   ,NO,Motor Vehicle,MV THEFT,43.0451640000001,-76.150548,1327,2023-05-01,3.2,3
-8477552.43245616,5312988.2041768,2023-03-03 00:00:00+00:00,1430,830,100 MAXWELL AV   ,NO,From Motor Vehicle,LARCENY,43.0066769640001,-76.1551492199999,1328,2023-03-01,3.6,2
-8479674.9771058,5316969.97574746,2023-03-23 00:00:00+00:00,1100,500,100 STINARD AV   ,NO,From Building,BURGLARY,43.0328282420001,-76.174216363,1330,2023-03-01,3.6,1
-8476222.69664835,5321729.50152502,2023-03-03 00:00:00+00:00,1200,1200,1000 BUTTERNUT ST     ,NO,From Building,BURGLARY,43.0640730000001,-76.143204,1331,2023-03-01,3.6,1
-8479688.18115588,5319493.85335513,2023-07-02 00:00:00+00:00,1815,1815,100 LAKEVIEW AV   ,YES,All Other,LARCENY,43.0493986700001,-76.1743349769999,1332,2023-07-01,3.5,2
-8478164.53948553,5315487.45276092,2023-11-16 00:00:00+00:00,0000,1030,100 MAY AV   ,NO,Motor Vehicle,MV THEFT,43.0230927040001,-76.160647871,1333,2023-11-01,3.7,3
-8476035.96733074,5321169.47821113,2023-04-12 00:00:00+00:00,1414,1418,100 S  ALVORD ST     ,NO,All Other,LARCENY,43.0603974530001,-76.141526582,1334,2023-04-01,2.9,2
-8479345.04138586,5320192.37528778,2023-09-20 00:00:00+00:00,1830,1145,1000 W GENESEE ST     ,NO,All Other,LARCENY,43.0539840000001,-76.1712525,1335,2023-09-01,3.6,2
-8478164.53948553,5315487.45276092,2023-08-15 00:00:00+00:00,0816,400,100 MAY AVE    ,NO,Of Bicycle,MV THEFT,43.0230927040001,-76.160647871,1338,2023-08-01,3.8,3
-8478777.57169119,5316609.11484581,2023-10-29 00:00:00+00:00,2330,600,100 STOLP AV   ,NO,Motor Vehicle,MV THEFT,43.0304586570001,-76.166154833,1340,2023-10-01,3.7,3
-8479688.18115588,5319493.85335513,2023-09-05 00:00:00+00:00,1605,1605,100 LAKEVIEW AV   ,NO,From Building,LARCENY,43.0493986700001,-76.1743349769999,1342,2023-09-01,3.6,2
-8478164.53948553,5315487.45276092,2023-01-01 00:00:00+00:00,0130,1115,100 MAY AVE    ,NO,From Motor Vehicle,LARCENY,43.0230927040001,-76.160647871,1343,2023-01-01,4.1,2
-8476231.24086455,5321707.32467355,2023-05-09 00:00:00+00:00,1400,2100,100 S  CARBON ST     ,NO,From Building,BURGLARY,43.0639274530001,-76.143280754,1344,2023-05-01,3.2,1
-8479345.04138586,5320192.37528778,2023-08-17 00:00:00+00:00,1300,1329,1000 W GENESEE ST     ,YES,Shoplifting,LARCENY,43.0539840000001,-76.1712525,1345,2023-08-01,3.8,2
-8471839.41600111,5320436.95508464,2023-01-06 00:00:00+00:00,1244,1244,100 SIMON DR     ,YES,All Other,LARCENY,43.055589422,-76.1038283199999,1346,2023-01-01,4.1,2
